//ZIGBEE CLUSTER ATTRIBUTE IDENTIFIERS
//GENERAL - Basic
"0000","ZCLVersion","Basic"
"0001","ApplicationVersion","Basic"
"0002","StackVersion","Basic"
"0003","HWVersion","Basic"
"0004","ManufacturerName","Basic"
"0005","ModelIdentifier","Basic"
"0006","DataCode","Basic"
"0007","PowerSource","Basic"
"0010","LocationDescription","Basic"
"0011","PhysicalEnvironment","Basic"
"0012","DeviceEnabled","Basic"
"0013","AlarmMask","Basic"
"0014","DisableLocalConfig","Basic"
"4000","SWBuildID","Basic"

//GENERAL - Power Configuration
"000","Mains Information","Power Configuration"
"001","Mains Settings","Power Configuration"
"002","Battery Information","Power Configuration"
"003","Battery Settings","Power Configuration"
"004","Battery Source 2 Information","Power Configuration"
"005","Battery Source 2 Settings","Power Configuration"
"006","Battery Source 3 Information","Power Configuration"
"007","Battery Source 3 Settings","Power Configuration"
"0010","MainsAlarmMask","Power Configuration"
"0011","MainsVoltageMinThreshold","Power Configuration"
"0012","MainsVoltageMaxThreshold","Power Configuration"
"0013","MainsVoltageDwellTripPoint","Power Configuration"
"0020","BatteryVoltage","Power Configuration"
"0021","BatteryPercentageRemaining","Power Configuration"
"0030","BatteryManufacturer","Power Configuration"
"0031","BatterySize","Power Configuration"
"0032","BatteryAHrRating","Power Configuration"
"0033","BatteryQuantity","Power Configuration"
"0034","BatteryRatedVoltage","Power Configuration"
"0035","BatteryAlarmMask","Power Configuration"
"0036","BatteryVoltageMinThreshold","Power Configuration"
"0037","BatteryVoltageThreshold1","Power Configuration"
"0038","BatteryVoltageThreshold2","Power Configuration"
"0039","BatteryVoltageThreshold3","Power Configuration"
"003A","BatteryPercentageMinThreshold","Power Configuration"
"003B","BatteryPercentageThreshold1","Power Configuration"
"003C","BatteryPercentageThreshold2","Power Configuration"
"003D","BatteryPercentageThreshold3","Power Configuration"
"003E","BatteryAlarmState","Power Configuration"

//GENERAL - Device Temperature Configuration
"000","Device Temperature Information","Device Temperature Configuration"
"001","Device Temperature Settings","Device Temperature Configuration"
"0000","CurrentTemperature","Device Temperature Configuration"
"0001","MinTempExperienced","Device Temperature Configuration"
"0002","MaxTempExperienced","Device Temperature Configuration"
"0003","OverTempTotalDwell","Device Temperature Configuration"
"0010","DeviceTempAlarmMask","Device Temperature Configuration"
"0011","LowTempThreshold","Device Temperature Configuration"
"0012","HighTempThreshold","Device Temperature Configuration"
"0013","LowTempDwellTripPoint","Device Temperature Configuration"
"0014","HighTempDwellTripPoint","Device Temperature Configuration"

//GENERAL - Identify
"0000","IdentifyTime","Identify"

//GENERAL - Groups
"0000","NameSupport","Groups"

//GENERAL - Scenes
"000","Scene Management Information","Scenes"
"0000","SceneCount","Scenes"
"0001","CurrentScene","Scenes"
"0002","CurrentGroup","Scenes"
"0003","SceneValid","Scenes"
"0004","NameSupport","Scenes"
"0005","LastConfiguredBy","Scenes"

//GENERAL - On/Off
"0000","OnOff","On/Off"
"4000","GlobalSceneControl","On/Off"
"4001","OnTime","On/Off"
"4002","OffWaitTime","On/Off"

//GENERAL - On/Off Switch Configuration
"000","Switch Information","On/Off Switch Configuration"
"001","Switch Settings","On/Off Switch Configuration"
"0000","SwitchType","On/Off Switch Configuration"
"0010","SwitchActions","On/Off Switch Configuration"

//GENERAL - Level Control
"0000","CurrentLevel","Level Control"
"0001","RemainingTime","Level Control"
"0010","OnOffTransitionTime","Level Control"
"0011","OnLevel","Level Control"
"0012","OnTransitionTime","Level Control"
"0013","OffTransitionTime","Level Control"
"0014","DefaultMoveRate","Level Control"

//GENERAL - Alarms
"000","Alarm Information","Alarms"
"0000","AlarmCount","Alarms"

//GENERAL - Time
"0000","Time","Time"
"0001","TimeStatus","Time"
"0002","TimeZone","Time"
"0003","DstStart","Time"
"0004","DstEnd","Time"
"0005","DstShift","Time"
"0006","StandardTime","Time"
"0007","LocalTime","Time"
"0008","LastSetTime","Time"
"0009","ValidUntilTime","Time"

//GENERAL - RSSI
"000","Location Information","RSSI"
"001","Location Settings","RSSI"
"0000","LocationType","RSSI"
"0001","LocationMethod","RSSI"
"0002","LocationAge","RSSI"
"0003","QualityMeasure","RSSI"
"0004","NumberOfDevices","RSSI"
"0010","Coordinate1,"RSSI"
"0011","Coordinate2,"RSSI"
"0012","Coordinate3,"RSSI"
"0013","Power","RSSI"
"0014","PathLossExponent","RSSI"
"0015","ReportingPeriod","RSSI"
"0016","CalculationPeriod","RSSI"
"0017","NumberRSSIMeasurements","RSSI"

//GENERAL - Analog Input
"001C","Description","Analog Input"
"0041","MaxPresentValue","Analog Input"
"0045","MinPresentValue","Analog Input"
"0051","OutOfService","Analog Input"
"0055","PresentValue","Analog Input"
"0067","Reliability","Analog Input"
"006A","Resolution","Analog Input"
"006F","StatusFlags","Analog Input"
"0075","EngineeringUnits","Analog Input"
"0100","ApplicationType","Analog Input"

//GENERAL - Analog Output
"001C","Description","Analog Output"
"0041","MaxPresentValue","Analog Output"
"0045","MinPresentValue","Analog Output"
"0051","OutOfService","Analog Output"
"0055","PresentValue","Analog Output"
"0057","PriorityArray","Analog Output"
"0067","Reliability","Analog Output"
"0068","RelinquishDefault","Analog Output"
"006A","Resolution","Analog Output"
"006F","StatusFlags","Analog Output"
"0075","EngineeringUnits","Analog Output"
"0100","ApplicationType","Analog Output"

//GENERAL - Analog Value
"001C","Description","Analog Value"
"0051","OutOfService","Analog Value"
"0055","PresentValue","Analog Value"
"0057","PriorityArray","Analog Value"
"0067","Reliability","Analog Value"
"0068","RelinquishDefault","Analog Value"
"006F","StatusFlags","Analog Value"
"0075","EngineeringUnits","Analog Value"
"0100","ApplicationType","Analog Value"

//GENERAL - Binary Input (Basic)
"0004","ActiveText","Binary Input (Basic)"
"001C","Description","Binary Input (Basic)"
"002E","InactiveText","Binary Input (Basic)"
"0051","OutOfService","Binary Input (Basic)"
"0054","Polarity","Binary Input (Basic)"
"0055","PresentValue","Binary Input (Basic)"
"0067","Reliability","Binary Input (Basic)"
"006F","StatusFlags","Binary Input (Basic)"
"0100","ApplicationType","Binary Input (Basic)"

//GENERAL - Binary Output (Basic)
"0004","ActiveText","Binary Output (Basic)"
"001C","Description","Binary Output (Basic)"
"002E","InactiveText","Binary Output (Basic)"
"0042","MinimumOffTime","Binary Output (Basic)"
"0043","MinimumOnTime","Binary Output (Basic)"
"0051","OutOfService","Binary Output (Basic)"
"0054","Polarity","Binary Output (Basic)"
"0055","PresentValue","Binary Output (Basic)"
"0057","PriorityArray","Binary Output (Basic)"
"0067","Reliability","Binary Output (Basic)"
"0068","RelinquishDefault","Binary Output (Basic)"
"006F","StatusFlags","Binary Output (Basic)"
"0100","ApplicationType","Binary Output (Basic)"

//GENERAL - Binary Value (Basic)
"0004","ActiveText","Binary Value (Basic)"
"001C","Description","Binary Value (Basic)"
"002E","InactiveText","Binary Value (Basic)"
"0042","MinimumOffTime","Binary Value (Basic)"
"0043","MinimumOnTime","Binary Value (Basic)"
"0051","OutOfService","Binary Value (Basic)"
"0055","PresentValue","Binary Value (Basic)"
"0057","PriorityArray","Binary Value (Basic)"
"0067","Reliability","Binary Value (Basic)"
"0068","RelinquishDefault","Binary Value (Basic)"
"006F","StatusFlags","Binary Value (Basic)"
"0100","ApplicationType","Binary Value (Basic)"

//GENERAL - Multistate Input (Basic)
"000E","StateText","Multistate Input (Basic)"
"001C","Description","Multistate Input (Basic)"
"004A","NumberOfStates","Multistate Input (Basic)"
"0051","OutOfService","Multistate Input (Basic)"
"0055","PresentValue","Multistate Input (Basic)"
"0067","Reliability","Multistate Input (Basic)"
"006F","StatusFlags","Multistate Input (Basic)"
"0100","ApplicationType","Multistate Input (Basic)"

//GENERAL - Multistate Output (Basic)
"000E","StateText","Multistate Output (Basic)"
"001C","Description","Multistate Output (Basic)"
"004A","NumberOfStates","Multistate Output (Basic)"
"0051","OutOfService","Multistate Output (Basic)"
"0055","PresentValue","Multistate Output (Basic)"
"0057","PriorityArray","Multistate Output (Basic)"
"0067","Reliability","Multistate Output (Basic)"
"0068","RelinquishDefault","Multistate Output (Basic)"
